PC1,PC2,PC3,Dominant_Topic,Dominant_Topic_Label,review_text
-0.03856826674783279,-0.37005492252663835,0.16710628440872516,1,Topic 2,sure netflix good app
-0.24161144210925684,0.019542210902138653,-0.19951681819966724,2,Topic 3,great ad
-0.05524617096937612,-0.16048853598062932,-0.01441508102298161,4,Topic 5,nothing worth watchingwaste money
-0.3152061415743738,0.2758441181107037,0.0008582547104973408,2,Topic 3,best
-0.01837596777808449,-0.21577689251650717,0.40084218130917215,1,Topic 2,love
0.5876502397415634,0.22338068844336306,0.12328907275673283,3,Topic 4,issue related video quality app representative didnt even bother tell name told contact isp mean every thing working fine ott apps phone everybodys phone house im one used netflix ive uninstall obviously ended subscription tell customer care people give name people people address fix bug app instead blaming isp
0.640119199151743,0.3231766420665615,-0.03555516299495064,3,Topic 4,annoying cannot watch continuously without reset phonebecause error inconvenient
-0.018588807328368775,-0.2135633067545653,0.3941465711546812,1,Topic 2,cant share movie
0.3845779792909801,0.029852245687622396,0.31825716584787533,3,Topic 4,oct update doesnt even allow user open netflix wont go past splashscreen aug update longer enables control literal video resolution im sure canceling doesnt get fixed
-0.026617821039833525,-0.3341641663612608,0.6543477426552897,1,Topic 2,best app love netflix cheap
-0.06908038950342506,-0.1993908493954558,-0.022898103818094002,4,Topic 5,sinceramente uma falta de respeito com o assinantes gente paga todo m e ainda assim precisa lidar com essa enrolao de ter que pagar mais pra assistir certas sries e filmes bloquear contedos pra quem tem plano com anncios absurdo mnimo seria oferecer igualdade de acesso j que todos esto pagando decepcionante ver uma empresa desse porte tratar o assinantes dessa forma
-0.06524416829467025,0.323960555547145,-0.10521507245260334,2,Topic 3,let people use account within family lose subscriber like gain additional continue enforce awful junk
-0.025012150453146316,-0.32382641192459916,0.63081367636511,1,Topic 2,full k movie ultra hd p movie
0.724691234734786,0.36957632327310697,-0.04208257086557461,3,Topic 4,point paying subscription every episode need stopped wont turn closing app tenth time tsk ending mostly unsatisfying working properly glitch none stop
-0.024967265105367467,-0.32404060021504966,0.6314649419383835,1,Topic 2,cant wath night retina burning incompetent developer overriding brightness control
0.5109265176875192,0.25103893011157724,-0.024695846961897572,3,Topic 4,please fix error
-0.43539609971256066,0.31119786619838724,-0.10534320271601941,2,Topic 3,still deducted money account even subscriber scam
